Brand,Total visits,Average visits,Total sales,Average sales,Prices changed,Number prices changes,Average rank
Baldor,445,63,1,0,Yes,569,4
Leeson,188,26,1,0,Yes,3197,7
Redlion,29,4,0,0,Yes,10,3
Dodge,430,61,2,0,Yes,2687,6
All brands,2184,312,45,6,,,5

Total profit,17984.34
Average day profit,2569.19
Baldor,445,63,1,0,Yes,569,4
Leeson,188,26,1,0,Yes,3197,7
Redlion,29,4,0,0,Yes,10,3
Dodge,430,61,2,0,Yes,2687,6
All brands,2184,312,45,6,,,5

Total profit,17984.34
Average day profit,2569.19
